id_sentimen,id_tokoh,id_wilayah,platform,raw_text,sentiment_label,keyword_category,url_postingan,created_at,tanggal_mentah,tipe_kemarahan,target_serangan,wilayah
942,1,,TikTok,aturen dewe wae filutfi 🤭😂😂😂,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Lainnya,Gubernur,Lainnya/Jateng
2172,1,,TikTok,umdang undang dasar mengamanatkan kesejahteraan rakyat,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Pekalongan/Pantura (G)
718,1,,TikTok,sinetron,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Lainnya,Lainnya/Jateng
1674,1,,TikTok,sipaling dibelakangnya ada pak jokowi 😂😂😂😂😂😂,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Lainnya,Lainnya/Jateng
2360,1,,TikTok,pejabat dan pemimpin paling senang bikin kebajikan yg mensengsarakan Rakyatnya.🤣🤣🤣,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
994,1,,TikTok,rakyat diperas,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
1255,1,,TikTok,setelah sadewo sekarang giliran lutfi ygperlu didemo😁,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
1010,1,,TikTok,aturan meras rakyat ya pak,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1244,1,,TikTok,peras terus 😂,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
800,1,,TikTok,Rakyat juga punya dasar kalo pejabat tidak berpihak demi kesejahteraan rakyat.. ya lengserkan 😅,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1524,1,,TikTok,"yang taat tambah diperas,
yang nunggak malah diputihkan.",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
1007,1,,TikTok,aturan di buat hanya untuk menyengsarakan rakyat,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1355,1,,TikTok,"potong saja gaji mu dan jajaran mu, untuk bayar utang. jangan rakyat yang dijadikan tumbal..",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Gubernur,Lainnya/Jateng
1478,1,,TikTok,gak ISO ngopeni rakyat nya....,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Gubernur,Lainnya/Jateng
1455,1,,TikTok,🤣🤣🤣🤣 lutfi lucu,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
2332,1,,TikTok,jogja perasaan udah dari januari 2025 malah🤣,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
123,1,,TikTok,"""SIAPAPUN PEMIMPINNYA GA NGARUH"" gitu dulu kata si pemilih 😂😂😂",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1101,1,,TikTok,duwit duwit j,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2879,2,,TikTok,opsen ne mbok di guwak marakne ruwet rakyat e,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Solo Raya (AD)
2103,1,,TikTok,Jd pemimpin yg bisa menyejahterakan rakyatnya. Aturan dibuat bukan utk menyulitkan rakyatnya,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1963,1,,TikTok,Lutfi turunkan....,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
2574,2,,TikTok,intinya rakyat diperas utk kenikmatan para pejabat,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2653,2,,TikTok,"tapi tetep memberat kan rakyat kecil ,hapus opsen PKB itu keinginan rakyat",Negatif,,,2026-02-25 19:46:39.483484+00:00,9 j yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2746,2,,TikTok,"iming iming diskon, rakyat diperas seperti tebu, ayo mari cerdas",Negatif,,,2026-02-25 19:46:39.483484+00:00,21 j yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2809,2,,TikTok,Undang undang untuk melegalkan memeras Rakyat Kyai...,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2624,2,,TikTok,"makin sengsara rakyat,pejabat kaya2",Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2867,2,,TikTok,"pejabat gajinya gede""ujung""nya rakyat yg di perasss",Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2004,1,,TikTok,"demo Lutfi, ORA Ono gunane",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
2020,1,,TikTok,lutfi kui sopo,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
2044,1,,TikTok,lutfi oh lutfi...,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
2501,1,,TikTok,dsar lutfi sambo ...,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
2367,1,,TikTok,Dasarnya gubernure ora mikiri rakyate,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Gubernur,Lainnya/Jateng
2503,1,,TikTok,gubernur duwete entek gawe umroh bar golek2 Duwet Meres rakyat,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Gubernur,Lainnya/Jateng
486,1,,TikTok,"😏harusnya yg diusahakan rakyat biar ga bayar pajak, ini malah nambah terus pajak pajek pojok.. ngilang",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
623,1,,TikTok,Dari pada bayar pajak mending di sodakoh kan ke orang yang tidak mampu..Dari pada nurut tp aslinya diperas,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
662,1,,TikTok,pajak terus.capek rakyat klo suruh pajak.,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
769,1,,TikTok,"rakyat diperas dg pajak.tp prestasi pejabat nol.
😂😂
lama"" rakyat mati perlahan.",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
818,1,,TikTok,enak banget ...nyuruh rakyat bayar pajak setinggi langit kalian pejabat justru ongkang2 untuk mencari laba,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2862,2,,TikTok,dobol kuro.. undang2 mung dienggo nekan rakyat...,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Pemerintahan,Kedu (AA)
2819,2,,TikTok,"mana slogan ngayomi ngopeni rakyat, memeras itulah kenyataannya.",Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Gubernur,Solo Raya (AD)
2635,2,,TikTok,"kebijakan model apa si kebijakan2 mulu perasaan 😏
bijak kalau sama2 menguntungkan deh bukan rugi gini
coba dijelasin itu by buat apa, motor 1 kena 160rb, kali berapa juta woy
kagak kira2 emang 😏",Negatif,,,2026-02-25 19:46:39.483484+00:00,5 j yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Pekalongan/Pantura (G)
